iter	Logloss
0	0.6212945375
1	0.5943722813
2	0.5723458263
3	0.5514524552
4	0.5365958665
5	0.523900092
6	0.5129461742
7	0.5053286107
8	0.4976424062
9	0.4940606253
10	0.488748578
11	0.485094389
12	0.481040244
13	0.4785949336
14	0.4765604346
15	0.4733311934
16	0.4716031272
17	0.4690694562
18	0.4671348202
19	0.4659643209
20	0.4584075557
21	0.4571852572
22	0.4560736065
23	0.4553603348
24	0.4547748702
25	0.453888824
26	0.4499897928
27	0.449400537
28	0.4487006824
29	0.4480782348
30	0.4473096257
31	0.4454824898
32	0.4447634078
33	0.4441998646
34	0.4435552492
35	0.4431433757
36	0.4427871583
37	0.442173505
38	0.4417910168
39	0.4412968896
40	0.4409472054
41	0.4407221857
42	0.4403385549
43	0.4400671444
44	0.4395605325
45	0.4391596884
46	0.4388204284
47	0.4384404378
48	0.4379953552
49	0.4375251021
50	0.4372785284
51	0.4367854803
52	0.4365798834
53	0.4363464467
54	0.436078528
55	0.4359161744
56	0.4357552118
57	0.4354878222
58	0.4351712087
59	0.4350332103
60	0.434773541
61	0.4344035422
62	0.434240006
63	0.4335051163
64	0.4332135576
65	0.4329647409
66	0.4327938365
67	0.4325753573
68	0.4324720338
69	0.4323725288
70	0.4322423521
71	0.4320377622
72	0.4319235508
73	0.4317675042
74	0.4316543474
75	0.4315122391
76	0.4295512335
77	0.429459958
78	0.4293116376
79	0.4291658279
80	0.4290554126
81	0.4287556159
82	0.4286185977
83	0.4284978101
84	0.4284001646
85	0.4281426142
86	0.4280194596
87	0.4279474461
88	0.4275193332
89	0.4265232078
90	0.4264729696
91	0.4263894945
92	0.4263124992
93	0.4262349769
94	0.4261379238
95	0.4259885688
96	0.4259206265
97	0.4258055023
98	0.4257272872
99	0.4256471963
