iter	Passed	Remaining
0	5	522
1	9	484
2	14	459
3	19	462
4	23	455
5	28	443
6	32	434
7	37	431
8	41	424
9	46	418
10	51	415
11	55	407
12	59	399
13	63	389
14	66	379
15	70	371
16	74	364
17	79	361
18	83	357
19	87	351
20	92	349
21	97	346
22	101	340
23	105	333
24	109	329
25	113	324
26	118	321
27	122	316
28	126	310
29	130	305
30	134	300
31	139	296
32	143	291
33	147	286
34	152	282
35	156	278
36	160	272
37	164	268
38	168	263
39	172	258
40	175	253
41	179	248
42	183	242
43	186	237
44	191	233
45	194	228
46	198	223
47	202	219
48	206	214
49	210	210
50	215	206
51	219	202
52	223	198
53	228	194
54	232	190
55	236	185
56	241	182
57	246	178
58	250	174
59	255	170
60	259	166
61	263	161
62	267	156
63	271	152
64	275	148
65	279	143
66	283	139
67	287	135
68	291	130
69	295	126
70	299	122
71	302	117
72	307	113
73	310	109
74	314	104
75	317	100
76	322	96
77	326	92
78	330	87
79	334	83
80	337	79
81	342	75
82	346	71
83	350	66
84	354	62
85	358	58
86	361	54
87	365	49
88	370	45
89	374	41
90	377	37
91	381	33
92	386	29
93	389	24
94	393	20
95	397	16
96	401	12
97	405	8
98	409	4
99	413	0
